Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,FI Wickets,DotBalls
2011,DE Bollinger,7.0212765957446805,330,47.0,282,17,7,17,1,5,135
2016,CH Morris,7.0227272727272725,309,44.0,264,13,7,14,1,8,121
2017,JD Unadkat,7.025454545454545,322,45.833333333333336,275,24,17,4,0,9,130
2012,SR Watson,7.043478260869565,162,23.0,138,6,2,6,1,2,72
2017,MG Johnson,7.05,141,20.0,120,7,3,6,0,1,63
2012,GB Hogg,7.055555555555555,254,36.0,216,10,5,8,1,3,81
2021,YS Chahal,7.056603773584905,374,53.0,318,18,17,5,0,6,132
2010,Harbhajan Singh,7.065420560747664,378,53.5,321,17,12,17,1,7,122
2012,S Nadeem,7.066666666666666,318,45.0,270,8,11,5,0,4,95
2017,B Kumar,7.070063694267516,370,52.333333333333336,314,26,9,11,1,9,140
2018,KH Pandya,7.070539419087138,284,40.166666666666664,241,12,8,5,0,2,90
2011,JH Kallis,7.083333333333333,170,24.0,144,7,2,6,0,2,60
2013,R Rampaul,7.086206896551724,274,38.666666666666664,232,15,13,9,2,2,127
2019,Harbhajan Singh,7.090909090909091,312,44.0,264,16,15,7,0,2,122
2009,MM Patel,7.090909090909091,247,34.833333333333336,209,16,9,10,6,6,118
2009,Yuvraj Singh,7.1,142,20.0,120,6,4,1,0,3,49
2021,RA Jadeja,7.1020408163265305,348,49.0,294,13,14,6,2,6,109
2009,RP Singh,7.106145251396648,424,59.666666666666664,358,23,12,24,7,6,196
2012,Harbhajan Singh,7.111111111111111,384,54.0,324,6,14,17,0,2,133
2009,A Mishra,7.114624505928854,300,42.166666666666664,253,14,13,9,6,2,109
2020,YS Chahal,7.1195335276967935,407,57.166666666666664,343,21,16,8,2,8,121
